Name,Team,x,Position,y,Height,z,College,Salary
Avery Bradley,Boston Celtics,-1.133439363788221,PG,-1.5958590193920439,6-2,-0.040142813627218964,Texas,7730337.0
Jae Crowder,Boston Celtics,1.524314853114827,SF,3.8785374914134296,6-6,0.6688152823760042,Marquette,6796117.0
John Holland,Boston Celtics,-0.24854950520580749,SG,0.4019288783426254,6-5,0.5961405672555119,Boston University,3972378.5
R.J. Hunter,Boston Celtics,-1.6520064878631393,SG,0.569963821576357,6-5,0.30488991620673966,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,0.33726875595775446,PF,-0.4425992769543821,6-10,-0.01197950887089473,,5000000.0
Amir Johnson,Boston Celtics,2.5454243504190206,PF,2.8117174217525878,6-9,0.7224201370278757,,12000000.0
Jordan Mickey,Boston Celtics,-0.2632126000026766,PF,2.611424776593858,6-8,-0.35493151812348733,LSU,1170960.0
Kelly Olynyk,Boston Celtics,0.20002043686079626,C,1.6846684076738507,7-0,-0.051512964706730585,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,-1.7240850627413538,PG,-0.15942267921188039,6-2,-0.11108733655626242,Louisville,1824360.0
Marcus Smart,Boston Celtics,-0.5262619155344089,PG,1.2396272416146314,6-4,-0.38583062007267577,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,0.05967555568940951,C,0.4585065467354583,6-9,-1.2465773330272225,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,-0.7888324126039646,PG,-1.3743587400993236,5-9,0.32548890869849395,Washington,6912869.0
Evan Turner,Boston Celtics,-0.27600487859788686,SG,-0.20187494495116556,6-7,0.024893619469143802,Ohio State,3425510.0
James Young,Boston Celtics,-1.427746658274505,SG,0.37832405567029753,6-6,-0.8994482013010655,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,0.7499238018449171,C,1.944487226379784,7-0,-0.15028862922592562,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,0.15469277204878706,SG,1.2631794205869389,6-8,0.6643355079305104,,3425510.0
Markel Brown,Brooklyn Nets,-1.4111783284104866,SG,0.2806939459721776,6-3,0.4635561973827066,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,-0.6262158302748176,SG,0.09012151434929586,6-4,0.8795852850315883,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,-1.060186320218265,SG,0.9422477264133706,6-7,-0.6101925498615408,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,0.08698631175339906,PG,-1.4740464662754813,6-3,0.8861670007079272,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,-1.3858457977301675,SG,0.03562796877383172,6-7,-0.47199943524733745,,1599840.0
Sean Kilpatrick,Brooklyn Nets,-0.8456451080684392,SG,-0.07694762220277367,6-4,0.023442690726065175,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,-2.1447669020964852,PG,-0.9619932792703965,5-11,0.15989673939620316,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,2.736503923669085,C,-0.9938922661443834,7-0,-2.0023576900249687,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,-1.8779533058999711,PF,-0.3971052142181178,6-11,-0.6083335920326497,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,-0.3158395072901762,PF,1.1075243542382214,6-10,0.4079129900174529,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,0.05565936560869944,PF,1.7825300147597167,6-10,0.051067723303296356,Kansas,981348.0
Henry Sims,Brooklyn Nets,-0.002947549041082161,C,0.6438400779290236,6-10,-0.4493747851660397,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,-0.6684784462051394,PG,-0.060502868765584604,6-3,0.7210026330545869,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,0.8525140822736214,PF,-0.05272028469133507,6-8,-0.2210282919533644,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,0.2553056656123158,SG,-1.2806805902532212,6-5,0.2751557168721895,UCLA,8000000.0
Lou Amundson,New York Knicks,0.404800395428667,PF,-0.0992417182232424,6-9,1.2581384041164612,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,-0.9670708108678872,SF,1.6072839605623064,6-7,0.4265513634026845,,30888.0
Carmelo Anthony,New York Knicks,2.754178926268986,SF,-2.2290169984602746,6-8,-0.9596208616834174,Syracuse,22875000.0
Jose Calderon,New York Knicks,0.47413627000498465,PG,-1.647733544658809,6-3,1.1602389182272126,,7402812.0
Cleanthony Early,New York Knicks,-1.0186690591041316,SF,0.010788654026173697,6-8,0.06251763115324985,Wichita State,845059.0
Langston Galloway,New York Knicks,-1.5068565609305289,SG,-0.49523905441272575,6-2,-0.06818371125712691,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,-1.4966896027890566,PG,-0.07282045220771736,6-4,-0.003988452921385061,Notre Dame,1572360.0
Robin Lopez,New York Knicks,1.5242896429168873,C,-0.7582986556039925,7-0,-1.1761103406478866,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,0.2523259369908519,PF,0.17577973053668652,6-10,-0.7705921020621271,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,-0.7454237132885068,PF,0.1979010630196995,7-3,-1.662893827405941,,4131720.0
Kevin Seraphin,New York Knicks,0.6410013931021697,C,0.30921800895140683,6-10,-1.3740543880116722,,2814000.0
Lance Thomas,New York Knicks,0.48150662884608436,SF,1.56437458168974,6-8,0.5621932818385178,Duke,1636842.0
Sasha Vujacic,New York Knicks,-0.32504549893699414,SG,-0.299630832929111,6-7,1.6322192248663567,,947276.0
Derrick Williams,New York Knicks,0.15104784751968597,PF,0.7082705420196561,6-8,-0.5263306983370449,Arizona,4000000.0
Tony Wroten,New York Knicks,-1.5494280801459799,SG,-0.1608214546869741,6-6,-0.23173706659669335,Washington,167406.0
Elton Brand,Philadelphia 76ers,1.94232879128162,PF,1.430709601634502,6-9,1.7834697884269544,Duke,557341.0
Isaiah Canaan,Philadelphia 76ers,-1.3771928806814793,PG,-0.6400280116996254,6-0,0.03884441137379857,Murray State,947276.0
Robert Covington,Philadelphia 76ers,-0.5481647033340636,SF,1.0860710051457956,6-9,0.3319476516883222,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,0.01685889932234108,C,0.8764594300843939,7-0,-1.297308562356716,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,-0.965105017005628,SF,1.4764398883218235,6-8,0.03822513302761196,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,-0.44432008507181586,PF,1.1867980433579701,6-10,-0.9343323998029277,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,1.2338350111795042,PF,-0.5526434817563133,6-9,0.04375417236304497,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,-1.3252338556935217,PG,-0.4803483973718877,6-4,-0.10870017083449116,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,-1.3830052676402673,PG,-0.0029209885913975358,6-2,0.12509594546139502,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,-0.8511874788765896,PF,-0.12266138835400708,6-11,-1.0862284997492553,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,0.09656864518765622,C,0.7647072974575242,6-11,-2.3267813034535814,Duke,4582680.0
Ish Smith,Philadelphia 76ers,-1.671676926741035,PG,-1.093090674126135,6-0,0.8856384429140973,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,-1.304213013258662,SG,-0.08333411648019126,6-6,-0.48742742278594453,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,-0.7814527704141029,SG,0.8656825993379176,6-8,0.47283777406279226,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,-1.1000519493733258,PF,1.5848873194940487,6-11,-0.5326480529802111,UNLV,525093.0
Bismack Biyombo,Toronto Raptors,-0.3553401220657137,C,0.31715768898041974,6-9,-1.1286810066447672,,2814000.0
Bruno Caboclo,Toronto Raptors,-1.5595065259902456,SF,0.5753121152553327,6-9,-0.5736777371051099,,1524000.0
DeMarre Carroll,Toronto Raptors,0.7656525896901822,SF,-1.680316124218122,6-8,-0.3084735669762881,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,0.2653389463809567,SG,-0.8209302548500518,6-7,-0.6271090818678501,USC,10050000.0
James Johnson,Toronto Raptors,0.4147112729760314,PF,-0.15481131706320483,6-9,-0.2825456655840093,Wake Forest,2500000.0
Cory Joseph,Toronto Raptors,-1.0252415431826107,PG,-1.0439606938103232,6-3,-0.24394012064168935,Texas,7000000.0
Kyle Lowry,Toronto Raptors,0.6073000149761851,PG,-1.5966352520730094,6-0,0.13924073427794936,Villanova,12000000.0
Lucas Nogueira,Toronto Raptors,0.31694489460499614,C,3.91984491074135,7-0,0.8496411698949757,,1842000.0
Patrick Patterson,Toronto Raptors,1.0206549172169537,PF,1.7353599900356032,6-9,0.2727282754356389,Kentucky,6268675.0
Norman Powell,Toronto Raptors,-0.9829685397139089,SG,0.8186280847752698,6-4,-0.1318119305840936,UCLA,650000.0
Terrence Ross,Toronto Raptors,-0.7517320097897014,SF,0.45506078253934484,6-7,0.49825412685526016,Washington,3553917.0
Luis Scola,Toronto Raptors,1.1541070514141434,PF,-0.6967831470933401,6-9,1.0685495785677854,,2900000.0
Jason Thompson,Toronto Raptors,0.14992347218101848,PF,-0.03263351917720302,6-11,-0.1575534172626433,Rider,245177.0
Jonas Valanciunas,Toronto Raptors,0.3239742449430726,C,0.647487817784107,7-0,-1.1282933208684602,,4660482.0
Delon Wright,Toronto Raptors,-0.8244146344245293,PG,1.741663111016983,6-5,0.979978426676518,Utah,1509360.0
Leandro Barbosa,Golden State Warriors,-0.041803200301785054,SG,-0.47343996207006794,6-3,1.7261573829538255,,2500000.0
Harrison Barnes,Golden State Warriors,-0.05125207168438678,SF,1.341251790214331,6-8,-0.10910988241005386,North Carolina,3873398.0
Andrew Bogut,Golden State Warriors,2.2011977166985743,C,-0.7814775325118288,7-0,-0.7819147652329203,Utah,13800000.0
Ian Clark,Golden State Warriors,-1.6150381596013041,SG,-0.05440685577521411,6-3,0.8922032268306284,Belmont,947276.0
Stephen Curry,Golden State Warriors,0.3185065708620111,PG,-0.5812362380867371,6-3,0.5269359432402931,Davidson,11370786.0
Festus Ezeli,Golden State Warriors,0.7448207625046878,C,1.5793017245562604,6-11,-0.5576832884461931,Vanderbilt,2008748.0
Draymond Green,Golden State Warriors,1.1235249889102343,PF,-0.47335938327682736,6-7,-0.8927223909005066,Michigan State,14260870.0
Andre Iguodala,Golden State Warriors,1.0842889866351717,SF,-1.4438368459645543,6-6,0.33830347962649643,Arizona,11710456.0
Shaun Livingston,Golden State Warriors,0.0790984409044531,PG,0.07259630523753859,6-7,1.3032177301163008,,5543725.0
Kevon Looney,Golden State Warriors,-1.0215389091590945,SF,1.5733295877882167,6-9,-0.5584072594586458,UCLA,1131960.0
James Michael McAdoo,Golden State Warriors,-0.47990932855276,SF,0.9848485553753048,6-9,-0.6897152978390704,North Carolina,845059.0
Brandon Rush,Golden State Warriors,-0.22294493523580516,SF,-0.4925833273726912,6-6,0.559707665969935,Kansas,1270964.0
Marreese Speights,Golden State Warriors,0.5626995280004966,C,-0.056187095587378236,6-10,-0.6037983895590048,Florida,3815000.0
Klay Thompson,Golden State Warriors,0.7361302430875127,SG,-1.367325845452444,6-7,-0.8995666407253335,Washington State,15501000.0
Anderson Varejao,Golden State Warriors,1.4379968053240093,PF,0.8583976316176365,6-11,0.3613623874147651,,289755.0
Cole Aldrich,Los Angeles Clippers,0.6718354324121381,C,2.0331482974518265,6-11,0.1983166740469997,Kansas,1100602.0
Jeff Ayres,Los Angeles Clippers,0.418627926947656,PF,0.8114619637489034,6-9,0.15914172408814128,Arizona State,111444.0
Jamal Crawford,Los Angeles Clippers,0.5690401033310961,SG,-1.3026746042067514,6-5,1.848739792377107,Michigan,5675000.0
Branden Dawson,Los Angeles Clippers,-0.8090287500931936,SF,0.8859507503900905,6-6,-0.3474795841690567,Michigan State,525093.0
Jeff Green,Los Angeles Clippers,0.9058891352887142,SF,-0.8259341356921079,6-9,-0.41628596689852837,Georgetown,9650000.0
Blake Griffin,Los Angeles Clippers,2.3327914363752007,PF,-0.246899021427502,6-10,-1.299345839845365,Oklahoma,18907726.0
Wesley Johnson,Los Angeles Clippers,-0.15179804733691152,SF,0.9040901333171956,6-7,0.8270956983125035,Syracuse,1100602.0
DeAndre Jordan,Los Angeles Clippers,2.311104639064873,C,-1.3151709881218199,6-11,-2.0647796844344763,Texas A&M,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,-0.04126131565897248,PF,0.11299577817254283,6-8,0.36135117850912535,UCLA,947276.0
Chris Paul,Los Angeles Clippers,0.9984662645264032,PG,-3.1832605096996893,6-0,0.1411630048647027,Wake Forest,21468695.0
Paul Pierce,Los Angeles Clippers,1.822459691732163,SF,0.45469675751396293,6-7,1.9770549957082608,Kansas,3376000.0
Pablo Prigioni,Los Angeles Clippers,0.21602285401537755,PG,-1.2654569042164525,6-3,2.8408139484984765,,947726.0
JJ Redick,Los Angeles Clippers,-0.1472792998631147,SG,-1.546709259952401,6-4,0.8878332600095864,Duke,7085000.0
Austin Rivers,Los Angeles Clippers,-1.039952085762409,PG,0.4089462740719356,6-4,-0.002895605466421404,Duke,3110796.0
C.J. Wilcox,Los Angeles Clippers,-1.0152533116718216,SG,0.6366914328615455,6-5,0.6501552185283715,Washington,1159680.0
Brandon Bass,Los Angeles Lakers,0.7080708642970139,PF,-0.36351375418526183,6-8,-7.05562354906198e-05,LSU,3000000.0
Tarik Black,Los Angeles Lakers,-0.007418881031908912,C,1.4446890171988387,6-9,-0.5760837924289108,Kansas,845059.0
Anthony Brown,Los Angeles Lakers,-1.416562674260289,SF,-0.22996769055492447,6-7,-0.3986356242448219,Stanford,700000.0
Kobe Bryant,Los Angeles Lakers,3.273104545121956,SF,-2.3472537244589353,6-6,0.5506373383280915,,25000000.0
Jordan Clarkson,Los Angeles Lakers,-1.5750260558628737,PG,-0.3991772271047095,6-5,0.11430153792503461,Missouri,845059.0
Roy Hibbert,Los Angeles Lakers,2.4261534909564797,C,-0.45832460478081627,7-2,-1.3482246624222234,Georgetown,15592217.0
Marcelo Huertas,Los Angeles Lakers,-0.2722359951865294,PG,-0.6587077156337231,6-3,1.5806302368559126,,525093.0
Ryan Kelly,Los Angeles Lakers,-0.6010188556483295,PF,-0.10055552583097231,6-11,-0.4997056078782671,Duke,1724250.0
Larry Nance Jr.,Los Angeles Lakers,-0.8700902074079968,PF,0.20705363112459768,6-9,-0.7431961367891756,Wyoming,1155600.0
Julius Randle,Los Angeles Lakers,-0.12523522568986156,PF,1.4918406002586133,6-9,-1.2056076090042742,Kentucky,3132240.0
D'Angelo Russell,Los Angeles Lakers,-1.7055435201492302,PG,-0.7906201080188605,6-5,-0.9602543560684206,Ohio State,5103120.0
Robert Sacre,Los Angeles Lakers,1.1745025901797257,C,2.5710557235983584,7-0,-0.0886042441040392,Gonzaga,981348.0
Louis Williams,Los Angeles Lakers,-0.44253010294666195,SG,-0.7678426143417384,6-1,1.1688417515347742,,7000000.0
Metta World Peace,Los Angeles Lakers,1.9065117191515166,SF,1.3088266381712974,6-7,1.388979443915452,St. John's,947276.0
Nick Young,Los Angeles Lakers,0.03332853598116984,SF,-1.2582956951037172,6-7,0.570546768074696,USC,5219169.0
Eric Bledsoe,Phoenix Suns,-0.15792119491425907,PG,-1.9621405243354972,6-1,-0.4361186391627762,Kentucky,13500000.0
Devin Booker,Phoenix Suns,-1.9020727667070205,SG,-0.2874518855965504,6-6,-1.127070350938387,Kentucky,2127840.0
Chase Budinger,Phoenix Suns,-0.7363671831266005,SF,-0.16179825304000717,6-7,0.6118174572502573,Arizona,206192.0
Tyson Chandler,Phoenix Suns,1.8135909713950982,C,-1.4854161681822473,7-1,-0.14649595229334253,,13000000.0
Archie Goodwin,Phoenix Suns,-1.5776473817206433,SG,0.4785570315040217,6-5,-0.28541252349652546,Kentucky,1160160.0
John Jenkins,Phoenix Suns,-0.707065889791077,SG,0.6259733254538292,6-4,0.16256562829745558,Vanderbilt,981348.0
Brandon Knight,Phoenix Suns,-0.4213527449389959,PG,-1.8157955848687661,6-3,-0.7348464413868256,Kentucky,13500000.0
Alex Len,Phoenix Suns,0.15026121858300626,C,1.102281276908836,7-1,-1.429792326863229,Maryland,3807120.0
Jon Leuer,Phoenix Suns,-0.050589034745485845,PF,1.0213955494428106,6-10,0.3656538868676172,Wisconsin,1035000.0
Phil Pressey,Phoenix Suns,-1.6445334962728582,PG,0.21517581978481132,5-11,1.0234031241933284,Missouri,55722.0
Ronnie Price,Phoenix Suns,-0.4969651429546211,PG,-0.5582857853517795,6-2,1.659111461183231,Utah Valley,947276.0
Mirza Teletovic,Phoenix Suns,1.1815838472984075,PF,0.8620037592902565,6-9,0.3716575729407658,,5500000.0
P.J. Tucker,Phoenix Suns,1.0931668853614367,SF,0.017507456768593683,6-6,0.17471353439011547,Texas,5500000.0
T.J. Warren,Phoenix Suns,-0.8286012530323325,SF,0.41120357507128436,6-8,-0.8877548125995167,North Carolina State,2041080.0
Alan Williams,Phoenix Suns,-0.20070750079663482,C,1.1220103125632228,6-8,-1.1019972712873571,UC Santa Barbara,83397.0
Quincy Acy,Sacramento Kings,-0.3183792988693315,SF,0.5336306891061997,6-7,-0.483990663293435,Baylor,981348.0
James Anderson,Sacramento Kings,-0.7724362686936376,SG,-0.3531405208947838,6-6,0.22580448354277716,Oklahoma State,1015421.0
Marco Belinelli,Sacramento Kings,0.038864550127979826,SG,-1.1423294380328266,6-5,0.3949567098037966,,6060606.0
Caron Butler,Sacramento Kings,1.1658403935192228,SF,0.5109468352286445,6-7,1.8602366848574037,Connecticut,1449187.0
Omri Casspi,Sacramento Kings,-0.1179942052672774,SF,0.2514174634204062,6-9,0.0908018576078682,,2836186.0
Willie Cauley-Stein,Sacramento Kings,-0.6582211068347659,C,-0.12437257322529101,7-0,-1.3787190844733688,Kentucky,3398280.0
Darren Collison,Sacramento Kings,-1.0279479641120965,PG,-1.2603540735378769,6-0,0.8684995073136026,UCLA,5013559.0
DeMarcus Cousins,Sacramento Kings,1.9070393574533377,C,-0.34553559849855625,6-11,-2.0703586503994096,Kentucky,15851950.0
Seth Curry,Sacramento Kings,-1.2555018172605041,SG,0.5090902956854886,6-2,0.8554885911970974,Duke,947276.0
Duje Dukan,Sacramento Kings,-0.7267208001808527,PF,0.9393243278685448,6-9,-0.016612673806536214,Wisconsin,525093.0
Rudy Gay,Sacramento Kings,1.081727485431526,SF,-1.1618048444405609,6-8,-0.5154117861801236,Connecticut,12403101.0
Kosta Koufos,Sacramento Kings,1.619536295217394,C,1.442167271831832,7-0,-0.6212234699032229,Ohio State,7700000.0
Ben McLemore,Sacramento Kings,-1.1757365108127011,SG,0.23830744478074437,6-5,0.054903732462709715,Kansas,3156600.0
Eric Moreland,Sacramento Kings,-0.3164254682576077,PF,1.128752959045848,6-10,-0.3988815010669785,Oregon State,845059.0
Rajon Rondo,Sacramento Kings,-0.03477693151207078,PG,-1.5472219071794342,6-1,0.7114674773812064,Kentucky,9500000.0
Cameron Bairstow,Chicago Bulls,0.32529398442579016,PF,1.98765378017679,6-9,-0.1867599333821779,New Mexico,845059.0
